raw_text,severity,binary_label
"Für Führer, Volk und Vaterland!!!",1,True
"
Warum stehe ich denn dafür?
Ich Sage nicht das man hier Nigger, Juden, Kanacken oder andere erschiessen soll.",1,True
" ich schreibe was ich will und was mir gefällt.
Wenn du politisch diskutieren willst dann pn weil das Lange Texte werden.",1,True
Das Recht uns zu wehren nutzen wir und das nicht zu knapp.,1,True
Nationaler Sozialismus JETZT!!!,1,True
Ruhm und Ehre der Waffen SS,1,True
"Frei, Sozial und NATIONAL!!!",1,True
"Ihr tut unsrer Ehre weh
Unsre Antwort ""Zyklon b"" ?!?",1,True
  das war ein Zitat aus der goebbels rede als das Volk dem totalen Krieg zugestimmt hat,1,True
Nun Volk steh auf und Sturm brich los!!!,1,True
"  was?
Schreib mal ordentlich wenn du eine ordentliche Antwort willst",1,True
"20 Jahre friedliche Revolution in Mitteldeutschland 
Es ist zeit für die Nächste!!!!",1,True
Panzer Rollen in Afrika vor!,1,True
"„Hat je ein Jude aufgehört alle Menschen, die nicht Juden sind, zu verachten und sie gelegentlich auch zu bestehlen?“",1,True
Sieg oder Tot,1,True
Ich bin lieber tot als rot!,1,True
Hitler kann das sein?,1,True
Wahl ist Verrat!,1,True
Alles Gute zum Geburtstag!!!,1,True
"Rechte Twitteraccounts werden gesperrt :D
Ich bin immer noch da ^^",1,True
"#Hamsterkaeufe im Ernst.Lasst euch nicht vonne Regierung verarschen! Trinkwasser,pah.Kauft Klopapier!Besser tot als mit Kacke am Arsch leben",1,True
  Ratten! Die jibbet gratis inne Kanalisation... Sofern die Geizhälse se nech schon alle jefuttert haben... :-/,1,True
Besitz? Freiheit! Glaube an Dich und nutze Pfötchen und Zähne - am besten wenn's keiner erwartet. #Hamsternacht,1,True
"Wo bekomme ich günstig n Vorrat von Internet für 10 Tage her? #Hamsterkaeufe 
Und was is mit ausschlafen wenns knallt?",1,True
 hahaha... kann doch mal passieren. lucky unlucky... neben Fingerspitzengefühl braucht man auch den richtigen Durchblick ;-),1,True
"Die #Islamisierung wird durch ein #Burkaverbot doch nicht aufgehalten, ironischerweise eher verschleiert.",1,True
Heute Taufgottesdienst: Da baut der Pfaffe doch in sein Gelaber die Abneigung des Schusswaffengebrauch zur Grenzsicherung ein *würg*,1,True
  reicht der Einsatz von Reizgas dazu nicht? Oder liegt es nicht am Mittel sonder mehr an der Nutzung?,1,True
 lassen sie den Islamisten doch bitte auch ihre Zeit.Das erworbene Wissen muss vorerst in Syrien umgesetzt werden ,1,True
" wie peinlich,da muss ich mich entschuldigen.Habe Ihre Aussage durch ungenaues lesen falsch verstanden.Einen schönen Abend noch",1,True
"Wie führt man eigentlich Millionen zurück, wenn deren Herkunftsländer die gar nicht zurück haben wollen?",1,True
" die wehrhafte Demokratie greift halt nur bei extrem schweren Straftaten: missliebige Aufkleber, Plakate und Meinungsäußerungen",1,True
" saubere Qualität, gute Darstellung. Persönlich schaue ich mir lieber Aufnahmen der Wehrmacht an, aber was soll's.",1,True
" all dieses Leid.Wir sollten diesen 55 Millionen eine Perspektive geben und Asyl gewähren, dann nimmt das Morden ein Ende!",1,True
"  die Blicke der drei Nackideis - zu gut. 
Bestimmt intolerant 😋",1,True
" das wird dem Wirt hoffentlich eine Lehre sein!Hausverbot zurücknehmen u Freibier auf Lebenszeit,dass Minimum an Wiedergutmachung",1,True
"""Ich wähle #SPD""
""Warum?""
""Hat mein Vater auch immer gewählt und ist halt die #Arbeiterpartei - gehört sich so""
😫 Autsch",1,True
" 
Zeig mir die Toilette und ich sag Dir wer dort kacken war... 👳
So sehen die Klos danach aber auch aus...😷",1,True
" passt doch ganz gut. Jetzt fehlt nur noch der Zusatz ""Grenzen schützen"" oder ein neuer Name wie ""Mobile #Frontex Strike"" 😉",1,True
" sieh es von der positiven Seite: zumindest ist der Bildschirm noch heile.
#traurigaberwahr",1,True
"  da kannst die 3,3 Milliarden auch besser verbrennen - ist nicht jeder n J.
#FuckEU",1,True
" ""nicht nur Babys"" und dann hättest einfach zubeißen müssen 😁",1,True
" bah, nur ekelhaft, widerwärtig und menschenverachtend ... Gefällt mir... Muss ich mir jetzt n Tattoo stechen lassen?",1,True
" was,Du weißt es nicht? Ein 17-Jähriger hat da was in Erfahrung gebracht

",1,True
 Kann gar nicht sein... Es gibt nämlich keine #Überfremdung! Deshalb müssen wir auch nicht über #Islamisierung sprechen... Ende,1,True
" deutsch,im 2. WK bestimmt Soldat gewesen,benutzt rechten Arm zum Grüßen... Der Mann ist ein Verbrecher,ein Nazi! /Ironie aus",1,True
