raw_text,severity,binary_label
"Für Führer, Volk und Vaterland!!!",1,True
  das war ein Zitat aus der goebbels rede als das Volk dem totalen Krieg zugestimmt hat,1,True
Nun Volk steh auf und Sturm brich los!!!,1,True
"20 Jahre friedliche Revolution in Mitteldeutschland 
Es ist zeit für die Nächste!!!!",1,True
"Es bedarf nicht vieler Worte

Deutschland, Deutschland über alles, über alles in der Welt",1,True
" der ""Ermittler"" findet also einen charesmatischen Anführer von rechts gefährlich für unser Land? Kein Mitleid!",1,True
Ich verzichte einfach mal auf die besten Grüße zum Jahreswechsel u wünsche stattdessen allen Volksverrätern u -feinden n schnelles Verrecken,1,True
" ich muss immer wieder an ""Die Tagebücher"" denken. Das Volk komplett entwaffnen und eine artfremde Polizei-/Prügeltruppe aufstellen",1,True
Sie testen unser System und lernen dass sie sich alles erlauben koennen. #Nafris #RapefugeesWelcome ,1,True
" Der #Kapitalismus steht für Ausbeutung, Unterdrückung, Krieg, Ursache für Flüchtlingsströme... #ResistCapitalism #AntiKap",1,True
Gewaltbereite #Nafris nehmen ganze Stadtteile ein. Polizei machtlos. Willkommen im neuen Deutschland. ,1,True
Bloß ein weiterer Tag im neuen Deutschland ,1,True
 Feiges Zecken-Dreckspack.. 😠😠👊👊,1,True
"#cdu #spd #afd #flüchtlinge #asyl
So siehts aus..
",1,True
"#wasmichanDeutschlandstoert

- Familien- & Volksfeindlichkeit
- Antideutsche
- Überfremdund
- drohender Volkstod
- kapitalistisches System",1,True
"   Dreckiges Grinsen von denen die für Anschläge und Verbrechen sind,gegen Europa,Frankreich,Deutschland,gegen Freiheit.Ein neuer buddie.Wo ist",1,True
aber nur die vom deutschen volke!!!! ,1,True
nafris raus aus deutschland!!! ,1,True
nein danke zu muselvolk und nafris ,1,True
"vatertag oder auch männertag zeigt uns wieder auf dass wir unser volk und unsere frauen schützeb müssen, nafri müll raus aus deutschland!!!",1,True
"Ich nehme mir das Recht #Deutschland zu lieben. Und das Recht gegen jeden anzugehen, der diesem Land schadet!
#NSjetzt",1,True
Entwicklungsminister: Müller warnt vor 100 Millionen Flüchtlingen aus Afrika  via ,1,True
"#Halle #merkel #asylpolitik #Flüchtlinge

Islamisierung findet nirgends statt..#NEIN..
Parasiten-Versammlung😠😠😠👊👊👊
",1,True
"#Deutschland #BRD 2017 
komplett verrückt geworden !!!!!!! ",1,True
"... und es wird täglich verrückter !!! 
#Deutschland #BRD #Bayern
#refugeesnotwelcome #Noislam 
#esreicht #AfDwählen
",1,True
"Grüße gehen an #ReconquistaDeutschland die ebenfalls in #Hamburg umsonst duschen! ;)

#NoG20 #fckG20 #welcometohell",1,True
  Wie gaga bist Du denn ??? Die Basis unserer  Kindererziehung war Anstand und Rücksicht.. für das linke Dreckspack sind das Fremdwörter,1,True
"Es hieß doch mal.. hängt #dieGruenen solange es noch Bäume gibt..
wurde leider versäumt 
#Deutschland #BRD #G20HH2017 
#G20 #AfDwählen
",1,True
"..hier fehlt die größte Terroristenbande seit der RAF... #ProAsyl !! 
#Deutschland #BRD #AfDwählen
#Noislam #esreicht #migrantennotwelcome
",1,True
 Ihr seid die allerletzten die am Flüchtlingsnarrativ festhalten. ES IST 2017!,1,True
"Lustiger Lurch hat gesprochen !! Dank #Merkel gibt es in #Deutschland #BRD wirklich für jeden Idioten eine Bühne 
#AfDwählen 
#Noislam
",1,True
"Vollkommen abartig ist, dass es nach all dem #Terror immer noch solche A..L gibt, die glauben der #Islam gehört zu #Deutschland  + #Europa",1,True
"Jetzt ist amtlich:
#Merkel vollkommen verrückt geworden. Jeder Bezug zu Ihrem eigenen Volk ist verloren !!
#AfDwählen #Noislam 
#abmerkeln
",1,True
"noch ein Beispiel vom totalen #Realitätsverlust unserer   #Volksverräter
Jetzt erst recht:
#AfDwählen #Noislam 
#abmerkeln
",1,True
"Das Beste von unseren #Volksverrätern
das schlimme daran:
Sie glauben den Mist den Sie uns vorlügen
#Deutschland #BRD 
#AfDwählen #esreicht
",1,True
  Verpiss dich aus Deutschland du scheiss Kreatur..,1,True
"Deutschland zusammengefasst:
""Islam ist Friede""
-""Aber wurden schon oft Christ...""
""HALT DEIN MAUL DU RASSIST!""",1,True
"Geht der Alman raus um acht,
hat Ali bald sein Geld gemacht.",1,True
spontanes s/o an  den stabilen Hamudi aus dem Morgenland,1,True
"👍👍besser kann man's nicht beschreiben!!! 👍👍
#BTWahl #BTW2017
#AfDwählen #abmerkeln
#norefugees #esreicht
#Deutschland #BRD
",1,True
" Ihr lächerlichen manipulieren Kreaturen.. Merkt ihr's eigentlich nicht selber..? 
#AFD #HolDirDeinLandZurueck",1,True
"... für #Wähler die immer noch glauben #Merkel wieder #wählen zu müssen!
#BRD #Deutschland #Noislam
#esreicht #norefugees 
#AfDwählen
",1,True
" Herrlich ,  Völler und schade RAUS 🖕😠🖕",1,True
  Es ist mir scheiß egal wer morgen gewinnt. Solange sie nichts zu melden haben ist Deutschland abgesichert.,1,True
Almans trinken wöchentlich Holunderbrause im Irish Pub,1,True
"...muss mich erstmal hinsetzen!
Diese Freude haut mich um !
 #AfD drittstärkste #Partei !!! 
#Deutschland #BRD hat genug von #Merkel",1,True
 Herrlich  raus scheiß  trainier 🖕,1,True
 Hoffentlich  eine Niederlage  und das der scheiß  herrlich  seine Sachen packen  kann Völler und schade auch 🖕😠🖕,1,True
Der Deutsche schafft es echt sich wieder eine Groko zu wählen? OK. Hoffnung verloren. Danke Deutschland.,1,True
Ein Volk das sich die   wieder und wieder antut hat leider den Untergang verdient. Sorry.,1,True
Herrlich  raus du bist ein scheiß  trainier 🖕😠🖕,1,True
"  Da die ""Volksparteien"" kein ""Volk"" mehr haben wollen, können sie nach der eigenen Definition auch keine mehr sein. NO Volk, NO Volkspartei.",1,True
"  Da finden Sie den gewünschten ""Volkstod"" natürlich wesentlich besser. Sind Sie eigentlich ""Deutscher"" oder ""eben da""?",1,True
