raw_text,severity,binary_label
ist ekelhaft  bei ihren Klos kannst du nur mit Gummistiefel gehen ist so  und stinkt  fürchterlich,0.0,False
"                             Bevor Sie mit Judenstern markiert worden, die Juden auf ganze Welt gegen Deutschland Krieg angesagt.
Schon mal Verteidigung gehört?
Für Gaskammer Experte USA war kein Problem Double nachzubauen.
",1.0,True
"Und de Amis freut es wenn die Heuschrecken Europa klein machen und die Wirtschaft Schwächen, mit de Russen hat es ja nicht geklappt.",0.0,False
" :    Die Krim ist ein heißer Tip, auch zum Investieren, nur muß man als Bürger eines Landes unter Knechtschaft der EU-Sekte eben Umwege gehen wegen der Sanktionen ..",1.0,True
" : Es muss in #Deutschland eine politische Kraft geben, die den sozial Schwachen und auch denjenigen, denen nach Abzug der Steuer kaum etwas bleibt, sagt, Ihr seid uns wichtiger als alle anderen! Dazu sind #Linke, die #SPD oder die #CDU nicht in der Lage! #AfD  ",1.0,True
" : Wenn Politiker der #Erdogan nahen Partei BIG auf Facebook die Zerstörung #Israel's fordern, ist dies offenbar kein #HateSpeech. 🤒 #NetzDG ",1.0,True
" :  Korrekt 👍, aber wie will man es einem durchschnittlichen Tagesschauseher erklären, der jeden Abend das mitgeteilt bekommt, was er zu glauben hat. Das Bild was man in Deutschland von Amerika malt, hat nichts aber auch überhaupt nichts mit der Realität zu tun.",1.0,True
"nunja, da weiß man so langsam die Optionen, die den Deutschen zum auswandern bleiben",0.0,False
Was heißt hier 'wird'?,0.0,False
 : Muahaha. Deutschland Deine Ingenieure. Beschäftigen die sich mittlerweile auch nur noch mit Gender-Studies? ,1.0,True
"schon dieser völlig ahnungslose blick der göring eckert sprich bände! wer will freiwillig soeine tochter haben, die grünen sind deutschlands ende!
🤢🤮😷😭🐸🦎🐍 ",1.0,True
Das wissen die ganz genau. Verleumdung ist alles.,0.0,False
"  Keineswegs sind Volk und Proletariat ""gleichermaßen"" Fiktionen. Ein Volk ist eine reale, manifeste, geschichtliche Macht. Alle Emanzipationsideologien zielen auch auf ""Exklusionen"". Diese beiden Begriffe sind nicht einmal ideologische Gegensätze.",1.0,True
Gleich gut sichtbar als Abschreckung aufknüpfen,1.0,True
"d56f61b898b6244a.Du bekommst den Friedensnobelpreis. Und wirdst Mutter Theresa. Du hast nichst verstandenDeine Bekannten,Freunde,Kollegen schon! Bleib weiter dämlich!",1.0,True
 :  Sehe ich bei meinen Eltern. Kleine Rente und keine Unterstützung obwohl mein Vater stark sehbehindert ist. Ticket ÖPN können sie sich nicht leisten. Dafür fahren Flüchtlinge kostenlos mit dem Taxi zum Amt. 😡,1.0,True
Für unsere Kinder ist KEIN GELD da...aber MILLIONEN sofort für tausende Wohlstandsflüchtlinge!!!! ,1.0,True
Dumm und dümmer !!!    Ihr wisst überhaupt nicht was Faschismus ist.,0.0,False
"Deutschland Frankreich ganz Europa ist am abgrunt die politiker gehen einen plan nach, der plan die völker europas zu remplacieren und zu grunde gehen lassent.  Wen wird  das volk  reagieren und was unternehmen den bald ist es zu spät leute!",0.0,False
"http://www.spiegel.de/wirtschaft/soziales/bargeld-zahlung-bundesregierung-erwaegt-5000-euro-obergrenze-a-1075338.html

Jetzt wollen Sie das Bargeld abschaffen um an unser Erspartes zu kommen ?",0.0,False
der hatte Wahrscheinlich den Pass von einem Toten abgegeben,0.0,False
Ich finde Tschechien sehr gut.,0.0,False
 Und Verbrecher kann nicht schwimmen. Ich hätte ihn nicht rausgefischt,1.0,True
