raw_text,severity,binary_label
"Und pinkelt dann vorne über die Brille, die Sau ! :-)",1.0,True
der menschenschrott darf alles,1.0,True
"Das gute daran ,dieses pack legt sich selber um",1.0,True
Und solches PACK soll Integriert werden ? Na prost Mahlzeit.,0.5,True
"Bei der geistigen Umnachtung der deutschen Bundeskanzlerin, wäre ihr auch diese Variante zuzutrauen.",0.5,True
"Der Typ ist lustig :)  Das Motto von Ferkel und auch Schweden ist doch: Wir schaffen das, eeeehhh... ihr!",1.0,True
Bei soviel Dummheit bin ich sprachlos.,0.5,True
Wenn der Maas das Maul aufmacht ist das schon Köperverletzung und Volksverrat.,1.0,True
"Naja, dann hat das Wort Lügenpresse durchaus Berechtigung.",0.5,True
"Wenn sie gesagt hätte: """"#Domian´, ich hasse dich"""" hätten sie alle abgefeiert... :-(  #GEZ #wdr #1live #koelnhbf #rapefugees",0.5,True
"Alice versaut sich zwar gerade die Karriere bei der BLÖD-Zeitung, aber wo sie Recht hat, hat sie Recht.",0.5,True
97ad6f02b6697407 ich wer total Amok gelaufen jeden abgestochen von den Feigen Pissern nur in der Gruppe stark in Frankreich knallt es auch bald,1.0,True
"Der soll froh sein , dass ich nicht die Mutter des Mädchens war. Da hätte man auch keine Polizei mehr rufen müssen. Gerichtsmediziner hätte gereicht. Ne geht gar nicht sowas. Sich an Kindern vergreifen ist das allerletzte",1.0,True
Merkel ist Geisteskrank Sie führt Deutschland in den Abgrund,1.0,True
"Kinderfickende, schächtende #rapefugees! Wer Kinder-, Frauen-, oder Tierrechte verteidigt, darf nicht #gruene #spd oder #cdu wählen! #ltwbw",1.0,True
"KLARSTELLUNG ZUR VERTUSCHUNG DER WAREN GRÜNDE , DURCH DIE LÜGENPOLITIK und IHRE LÜGENMEDIEN, 
FÜR PEGIDA !!!",0.5,True
"Militär an die Grenze,und Grenzen dicht. Aber sofort! Sind die Politiker hier vollkommen verblödet und merken nich was sie aus unserem Vaterland machen?! Was hat die Merkel mit ihren Vasallen denn für einen politischen Auftrag...Deutschland fertig zu machen?",1.0,True
"Bleibt standhaft gegen
Der Verbrecherbande",0.5,True
"Dumm,dümmer ,Regierung!Die regierenden könnten doch keinen Tag in der freien Wirtschaft überleben!!!",1.0,True
Diese Wichser bekommen bald den Zorn des Volkes zu spüren aber dann Gnade euch Gott.,1.0,True
Ich bin für die #Schweinefleischpflicht !!! Hilft gegen die #Islamisierung !!!,0.5,True
War nur eine Frage der Zeit bis die Stasi-F*tze  Anetta Kahane zuschlägt.,1.0,True
"Armes Deutschland. Alle die mich schreien das die in unser Land kommen sollen, die alle gehören ausgewiesen. Wahnsinn das es noch solche idioten gibt. Armes Deutschland",0.5,True
Ich kann nur lachen der  islam verbietet und hasst schwule und Lesben aber Kinder ficken das dürfe sie was für ein pervers pack und Merkel der alten Trau ich das auch zu wiederliches weib,0.5,True
Drecks-Nazis,1.0,True
