Tweet,Date,♡,Image
"Für Führer, Volk und Vaterland!!!",Jan 11 2012,0,
"@name
Warum stehe ich denn dafür?
Ich Sage nicht das man hier Nigger, Juden, Kanacken oder andere erschiessen soll.",Jan 12 2012,0,
"@name ich schreibe was ich will und was mir gefällt.
Wenn du politisch diskutieren willst dann pn weil das Lange Texte werden.",Jan 12 2012,0,
Das Recht uns zu wehren nutzen wir und das nicht zu knapp.,Jan 13 2012,0,
"Kein Sieg ohne Kampf.
Also Kameraden, lasst uns kämpfen!!!",Jan 13 2012,0, 
Nationaler Sozialismus JETZT!!!,Jan 13 2012,0,
Ruhm und Ehre der Waffen SS,Jan 13 2012,0,
"Frei, Sozial und NATIONAL!!!",Jan 17 2012,0,
"Ihr tut unsrer Ehre weh
Unsre Antwort ""Zyklon b"" ?!?",Jan 17 2012,0,
@name @name das war ein Zitat aus der goebbels rede als das Volk dem totalen Krieg zugestimmt hat,Jan 23 2012,0,
Nun Volk steh auf und Sturm brich los!!!,Jan 23 2012,0,
"@name @name was?
Schreib mal ordentlich wenn du eine ordentliche Antwort willst",Jan 25 2012,0,
"20 Jahre friedliche Revolution in Mitteldeutschland 
Es ist zeit für die Nächste!!!!",Jan 28 2012,0,
Panzer Rollen in Afrika vor!,Feb 09 2012,0,
"„Hat je ein Jude aufgehört alle Menschen, die nicht Juden sind, zu verachten und sie gelegentlich auch zu bestehlen?“",Feb 10 2012,0,
Sieg oder Tot,Feb 19 2012,0,
Ich bin lieber tot als rot!,Feb 29 2012,0,
Hitler kann das sein?,Mar 20 2012,0,
Wahl ist Verrat!,Mar 22 2012,0,
Alles Gute zum Geburtstag!!!,Apr 21 2012,0,
"Rechte Twitteraccounts werden gesperrt :D
Ich bin immer noch da ^^",Oct 20 2012,1,
"Manchmal können sie auch süß sein :D
#RedScum
http://",Aug 21 2016,0,0001.jpg
"#Hamsterkaeufe im Ernst.Lasst euch nicht vonne Regierung verarschen! Trinkwasser,pah.Kauft Klopapier!Besser tot als mit Kacke am Arsch leben",Aug 21 2016,7,
@name @name Ratten! Die jibbet gratis inne Kanalisation... Sofern die Geizhälse se nech schon alle jefuttert haben... :-/,Aug 21 2016,1,
Besitz? Freiheit! Glaube an Dich und nutze Pfötchen und Zähne - am besten wenn's keiner erwartet. #Hamsternacht,Aug 21 2016,0,
"Wo bekomme ich günstig n Vorrat von Internet für 10 Tage her? #Hamsterkaeufe 
Und was is mit ausschlafen wenns knallt?",Aug 21 2016,0,
@name hahaha... kann doch mal passieren. lucky unlucky... neben Fingerspitzengefühl braucht man auch den richtigen Durchblick ;-),Aug 24 2016,0,
"Die #Islamisierung wird durch ein #Burkaverbot doch nicht aufgehalten, ironischerweise eher verschleiert.",Aug 25 2016,0,
Heute Taufgottesdienst: Da baut der Pfaffe doch in sein Gelaber die Abneigung des Schusswaffengebrauch zur Grenzsicherung ein *würg*,Aug 28 2016,0,
@name @name reicht der Einsatz von Reizgas dazu nicht? Oder liegt es nicht am Mittel sonder mehr an der Nutzung?,Aug 31 2016,0,
@name lassen sie den Islamisten doch bitte auch ihre Zeit.Das erworbene Wissen muss vorerst in Syrien umgesetzt werden @name,Aug 31 2016,1,
"@name wie peinlich,da muss ich mich entschuldigen.Habe Ihre Aussage durch ungenaues lesen falsch verstanden.Einen schönen Abend noch",Aug 31 2016,0,
"Wie führt man eigentlich Millionen zurück, wenn deren Herkunftsländer die gar nicht zurück haben wollen?",Sep 04 2016,0,
"@name die wehrhafte Demokratie greift halt nur bei extrem schweren Straftaten: missliebige Aufkleber, Plakate und Meinungsäußerungen",Sep 07 2016,0,
"@name saubere Qualität, gute Darstellung. Persönlich schaue ich mir lieber Aufnahmen der Wehrmacht an, aber was soll's.",Sep 07 2016,0,
"@name all dieses Leid.Wir sollten diesen 55 Millionen eine Perspektive geben und Asyl gewähren, dann nimmt das Morden ein Ende!",Sep 08 2016,0,
