raw_text,severity,binary_label
gleich an die wand stellen und erschiessen..,1.0,True
"nicht dass ich der Grundbotschaft dieses Post's widersprechen würde, aber 1 Rechtschreib- und 1 Grammatikfehler in einer so kurzen Beschreibung stärkt leider nur das clichee ""blau-Wähler haben nichts im Hirn"" bei dem politischen Gegenüber.",0.0,False
"Das mit dem ""an die Wand stellen und erschiessen""",0.0,False
"Seit dem ""an die Wand stellen und erschiessen"" sind in Deutschland nun etwa 60 Jahre her.",0.0,False
Ja ja die Kriminelle Heimatpartei FPÖ von Kinderpornografie beim Orts Chef von Burgenlabd bis Waffenhandel von Betrug Verhetzung bis Körperverletzung von falscher Zeugenaussage bis Mord bei RFJ....bezirksleiter schießt 13 Jährige über den Haufen Bundesrat wegen Wiederbetätigung verurteilt,0.0,False
"Ihr seids empfindlich . . Is beste wos uns passieren kann is , das Sie die Herrschaften selbst Niederfeiln . Und Ihr grünen . Euch wollte ich Danken . Euch Hurenkinder können wir den ganzen Scheiß verdanken.",1.0,True
"Mei bitte, sie sollen sich alle gegenseitig abstechen! Problem gelöst!",1.0,True
Wahnsinn.... :-(,0.0,False
Alles nur traumatisierte Kindlein.  Die von den Grünen bezahlten Anwälte werden es schon richten. ?,0.0,False
Fachkräfte bei der Arbeit. Ein Hirnchirurg und ein Atomphysiker...,0.0,False
"Unglaublich, was für ausländerfeindliche Kommentare man immer wieder zu lesen bekommt und unglaublich, wieviel Nazi noch in vielen Deutschen drinsteckt.",1.0,True
ich staune nur daß in österreich dieses problem so rasch ankam. eigentlich sin die doch immer so 40jahre danach,0.0,False
Das ist multi Kulti,0.0,False
"Es soll doch jeder in sein eigenen Land bleiben,da können Sie sich Untereinander von mir aus Totschlagen..........",0.0,False
Supie! Sie löschen sich gegenseitig aus! Hoffentlich bald!,0.5,True
jagt dieses Dreckspack raus.,1.0,True
"die regierung will es doch so ,polizei schaut bitte nur zu lass die sich mal selber dezimieren schont euch",0.0,False
weiter so freut mich das alle gutmenschen aufwachen,0.0,False
beide volksgruppen sofort ausweisen das eizige legitime mittel,0.0,False
"warum hauen die ösis nicht drauf die könnens doch die haben doch keine geschichte, die ihnen dauernd ungerechtugterweise vorgehalten wird. andere länder hatten auch schlechte machthaber, da spricht keiner drüber immer nur wir und die frau kriegt den mund nicht auf",0.0,False
alle raus da wo die herkommen aber ALLE und das problem ist gelöst !!!!,0.0,False
damit müssen wir laut der merkel leben . ich sage raus mit denen und die sollen die merkel direkt mit nehmen,0.0,False
Dreckspack entsorgen.,1.0,True
R A U S mit dem P A C K,0.5,True
"..hat mit Volksgruppen nichts zu tun, findet unter Deutschen ständig statt: Rockergruppen, Hooligans usw.",0.0,False
ab nach hause und gibt ihnen genug waffen mit um sich zu killen ! problem gelöst,0.5,True
Warum hat niemand der Frau geholfen?Den Verbrecher sollte man verrecken lassen anstatt ihm zu helfen!,1.0,True
Supa gail !,0.0,False
hoffentlich tut es ihm ordentlich weh !!!,0.5,True
schade das er es überlebte,1.0,True
Hoffentlich verbleibt er Ö nicht lebenslang als Pflegefall!,0.0,False
"Die Rübe hätte ihm die Garnitur abfahren sollen, dem Arsch.",1.0,True
"müßten vielmehr züge fahren, so mit nem kleinen bajonett vorn dran",0.5,True
Klar von Steuergelder auch noch Notoperiert. Hätte gleich noch ne U-Bahn losgeschickt. Einpacken und Ticket nach Algerien auf die Stirn drücken.......................,0.0,False
"selbst schuld,ich bin durchaus kein feind gegen ausländer,denn unser freund ist aus pakistan,abere der typ gehört nicht ins krankenhaus,sondern auf den gleisen müsste man den liegenlassen",0.5,True
"Richtig so alle Krimos raus aus Deutschland,natürlich auch die Deutschen Krimos!",0.0,False
einer weniger,0.0,False
hoffentlich verreckt er der facharbeiter,1.0,True
Wer bezahlt den Hubschraubereinsatz für diesen Verbrecher?,0.0,False
gleich bestaft ist doch super brauchen wir kei gericht,0.0,False
So viel Gesindel bei uns. Mir tut er nicht Leid.,1.0,True
"auf den gleisen sterben lassen,das wäre ein fall von absoluter gerechtigkeit",1.0,True
Ich muss mal eben auf die Kommentare bzw. deren Verfasser ??.,0.0,False
Politiker bekommen Personenschutz und wer schützt unsere Bevölkerung vor diesen Verbrechern und Abschaum ? Das ja den GROSSEN nichts passiert. Haben Angst um ihr bisschen Leben. Was ist mit der Angst die diese alte Frau jetzt hat? Die sollte Schmerzensgeld von der Bundesregierung einklagen die dieses Unrat in unser Land holt......,1.0,True
Hätten das Kriminelle Ausländer ...... liegen lassen solln...,0.5,True
Dumm gelaufen für das Arschloch,1.0,True
Als rein ins ländle mit dem gesocks. Wir haben noch platz,1.0,True
Raus damit,0.0,False
Top noch mehr von dem gesöcks!,1.0,True
Raus mit dem Rattenpack,1.0,True
raus aber sofort der krieg fängt schon an,0.0,False
Lasst uns schiffe versenken ...,0.5,True
"Wieso festgenommen, gleich nachschmeißen ins Meer!",1.0,True
Drecks pack. ...,1.0,True
Spielen wir Bimbos versenken,1.0,True
Tja dann doch mal herzlich willkommen im CHRISTLICHEN LAND bei den bescheuerten GUTMENSCHEN!!!,1.0,True
ALLES NUR HETZE,0.0,False
dafür gibts torpetos,0.0,False
gebt mir schnell einen  Bohrer,0.0,False
Ihr nazis..traurig,1.0,True
"Die ganze Bereicherung verdanken wir nur christlich verblödeten Vollpfosten. 
Kardinal Francesco Montenegro, zu dessen sizilianischer Erzdiözese Agrigent die Flüchtlingsinsel Lampedusa zählt, appellierte an die Italiener, sich vor dem Flüchtlingsnotstand nicht zu verschließen. Ganze Bevölkerungen würden sich derzeit in Bewegung setzen, man könne nicht wegschauen.",1.0,True
Manchmal macht es eben die richtige Mischung...!!!,0.0,False
warum schleppt man dieseschiffe nicht zurück nach afrika ??,0.0,False
na vielleicht merken jetz der vielen gutis den wahren grund dieser aktionen !!! aufwachen !!!,0.0,False
"Die sollte man alle wieder zurück schicken,garnicht erst in unser Land lassen..",0.0,False
"Genug ist genug, wir brauchen keine Teppichbrüder !!!",0.0,False
Und die Roth ist für noch mehr Flüchtlinge lief gerade im TV alle bei Roth einziehen das ist doch eine Lösung,0.0,False
"Meine fresse, labert ihr alle eine scheisse.....",0.0,False
"Echt zum kotzen hier, andauernd werden meine Kommentare gelöscht",0.0,False
"sicher doch. Nur schade ist, dass es nicht jedem Deutschen möglich ist D zu verlassen. Wäre interessant wie sich diese unfägigen Politiker sich dann hinstellen um das Pack zu ""bereichern""",0.5,True
"Ich sags ja immer wieder gerne: die die am lautesten nach Toleranz schreien,  sind doch die intolerantesten. Nur rein ins Land mit dem ganzen gesocks.",1.0,True
Demnächst in Deutschlands Moschen und auf Salafistenveranstaltungen auf unseren Straßen. Ein Hoch auf unsere Politiker.,0.0,False
Schiff entern und zurück schleppen oder versenken,1.0,True
So kennt man die Musels.Ist halt ein hinterhältiges Pack.,0.5,True
"tja...man konnt gestern wieder die FATIMA Roth im ZDF bewundern wie sie wieder alle leute zu NAZIS macht die nicht in der flüchtlingsfrage mit ihr einer meinung sind....die dame von der AFD hat es auf den punkt gebracht....wir haben hier in deutschland gesetze die für das ASYL zuständig sind.....da soll nun geprüft werden ob jemand politisch verfolgt wird, oder einer minderheit in seiner heimat angehört die verfolgt wird....usw....da tauchen für mich nun fragen auf :.......wer prüft denn eigentlich den wahrheitsgehalt der menschen die hier her kommen ????? der kleine scheiss beamte ?? der froh ist wenn 16.00 uhr ist ????nächte frage wäre......wozu gibt es denn über haupt die gesetze wenn sie dann nicht mal durchgesetzt werden ??????? hier in deutschlan leben offiziell  ca. 65000 menschen deren asylantrag abgelehnt wurde.....was bitte machen die dann noch hier ???????????",1.0,True
An den Haken nehmen und in den Ausgangshafen zurückschleppen !,0.0,False
Immer wenn man einen weißen Hai braucht ist keiner in der Nähe:),0.5,True
da hilft nur eins die boote von unten anbohren. man die werden hier nicht gebraucht und nicht gewollt,0.5,True
Zurück mit denen,0.0,False
Der islam gehört unter Strafe verboten.,0.0,False
"Selbst in der grössten Not, tun sich die Menschen grausames an. Pfui Teufel?????",0.0,False
"Ich habe viele dieser Kommentare gelesen und muss feststellen, dass genau diese unüberlegte Aussagen die Politiker aufschreckt aber nicht zum nachdenken animiert. Man kann auch mit ausgewählten Worten, Politik beeinflussen. Mit Hass(predigten) erreicht man gerade mal das Gegenteil. Und zu Wahlen Parteidemokratoren abstrafen. Richtig wäre es, so wie Frau Petri (AfD9 zu argumentieren, dass Asylanten immer ein Übergangsbleiberecht beantragen können. Dies sind ca. 30% der Ankommenden. Und die anderen 70% sollten sofort zurückgewiesen werden. Wenn der Kommentar, Muslime warfen Christen ins Meer, der Wahrheit entspricht, sollte doch die Kirche Stellung beziehen. Aber die ist wiederum von Staatszuschüssen abhängig. Wer das Assylantenheim in Tröglitz anzündete ist ja immer noch nicht nachgewiesen, aber die Medien machen damit Stimmung und zerstören die Gesellschaft. Die eigentliche Schuldfrage für diesen Fremdenhass muss sich die Bundesregierung mit ihren Steigbügelhaltern (Landesregierungen, Landratsämter usw.) zuschreiben lassen. Die ALLE haben keinen A .....   in der Hose.",0.0,False
"warum schützt die italienische Küstenwache uns nicht vor diesen Verbrechern ??? wenn die ersten 5 Boote versenkt wurden , ist esw vorbei mit diesem Spuk !!",0.5,True
"Sofort an Ort und Stelle einfach versenken, wenn sich das rum spricht werden es auch nicht mehr so VIELE versuchen um nach Europa zu kommen.",1.0,True
Was ist man von Moslems anders gewöhnt.Das Pack kann mitlerweile nur noch Morden und hinterhältig Töten.,0.5,True
Die neonazis haben schon recht mit dem was sie machen diese drecksausländer gehören vergaast man kann nicht mal mer mit seiner freundin einkaufen gehen ohne das 2dreckstürken einen am eingang dumm anmachen asozial ist sowas un der staat macht nix AUSLÄNDER RAUS!!!!!!!!!!!!!!!,1.0,True
Sobald die Muslime in der Mehrzahl sind fangen sie automatisch damit an ihren Gottesstaat zu errichten. Der Terror nimmt dann seinen Lauf.,0.0,False
Das ganze Schiff versenken die Bundeswehr sollte Jagd auf die machen und versenken,1.0,True
Na meine Güte   .Traumatisierte Kindlein halt. ?,0.0,False
"Große Worte, Jugendbande zerschlagen...",0.0,False
macht mal was gegen die banden in den großstädten ihr versager drogen menschenhandel und und und,0.5,True
Scheis nazis,1.0,True
Wir wollen keine Russen hier!,0.0,False
Sind das unser  Facharbeier,0.0,False
Aber man darf ja nix sagen wirst gleich zu den rechten in die ecke gestellt .,0.0,False
ich bin nach 45 geboren und ich schulde dem rest der welt einen scheissdreck!Wenn dieses dreckspack bei mir einbrechen würde-ich würde nicht die bullen rufen-aber die-garantiert!,1.0,True
"Schöne kommis, das geht runter wie ein Schweineschnitzel, weiter so...",0.0,False
@137c9c6970afb7fc was ist daran so schlimm zu den rechten gestellt zu werden also ich sage immer offen meine meinung zu diesen scheiß ausländern mir egal was die andren denken oder sagen und ich finde das sollten noch viel mehr machen sonst endert der staat nie was es gibt viel zu wenige neonazis  sagt eure meinung offen diese scheiß kanacken solln raus aus unserem land!!!!!!!,1.0,True
"Kriminelle Ausländer sollte man hinrichten! an den Eiern aufhängen,und die ganze Familie auspeitschen und ausweisen.An der Grenze solange mit einem Knüppel auf dem Kopf hauen das sie bei dem gedanken an Deutschland sich dauernt vor Angst in die Hose scheißen,",1.0,True
fürchterlich,0.0,False
"Meine Eltern wohnen bei mir, zu mir können sie kommen, alle zwei Meter hab ich en Schlagring, einen Baser oder Totschläger gebunkert, die Polizei wird erst gerufen wenn die Invasoren tot sind !",1.0,True
ich möchte mein altes Deutschland wieder,0.0,False
"ich würde sie finden und sehr schwer verletzen. Möglicherweise könnte ich das sogar hinkriegen, ohne selbst erwischt zu werden. Meine Eltern sind 77. Wer die anfasst, ist erledigt.",0.0,False
"eines fällt mir hier auf: Niemand hat etwas von Fremdländern gesagt. Aber na ja: Zu 99,8% ist es warscheinlich, dass das keine österreichische Buben waren :-/",0.0,False
"Scheiß drauf was das Grüne Gesox von mir denkt:
Vor ein paar Tagen hat in Berlin eine Unterkunft für Kriminelle Asylbewerber gebrannt. Kriminelle Asylbewerber = doppelt nichtsnutzig, hätte man ruhig noch etwas Benzin ins Feuer gießen können.",1.0,True
...aber man darf sowas ja nicht beim Namen nennen-Herr Pleitgen hat was dagegen das die Ausländer benannt werden,0.0,False
"früher wurden denen die Hände abgehackt,das waren noch Zeiten,jetzt werden diese gestreichelt",1.0,True
In einer Wirtschaftskrise macht man die Grenzen dicht.,0.0,False
Fachkräfte,0.0,False
"Alles Fachkräfte die wir so ""dringend"" brauchen Frau Merkel und das andere Gesocks",1.0,True
